시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
경기,경기 포천시,노인인구비율,7.02,7.06,7.34,7.42,7.43,7.46,7.72,8.02,8.42,8.83,9.00,9.56,10.12,10.52,11.00,11.54,11.91,12.35,12.74,13.22,13.81,14.39,14.94,15.4,15.7,16.64,17.46,18.61,19.9,20.87
경기,경기 여주시,총인구,95913,95953,95661,96891,99557,100634,101223,101478,103622,104648,104380,104030,103976,104260,105022,106926,107355,108088,109250,109120,109550,109343,110386,111033,111563,111984,111525,111083,111897,112150
경기,경기 여주시,노인인구비율,7.83,8.17,8.42,8.68,8.89,9.12,9.40,9.85,10.21,10.59,11.24,11.85,12.42,12.84,13.43,13.93,14.28,14.66,15.06,15.46,16.08,16.67,16.92,17.32,17.73,18.83,19.69,20.77,21.87,23.05
경기,경기 연천군,총인구,56136,55777,54862,54803,55117,55154,54365,53766,52786,51655,50372,49508,48687,47123,46075,45603,45495,45241,45177,44900,45599,45610,45363,45725,45907,45431,44633,43824,43516,42721
경기,경기 연천군,노인인구비율,7.75,8.04,8.48,8.81,9.14,9.52,10.05,10.59,11.40,12.16,13.01,13.92,14.77,15.66,16.50,17.48,18.05,18.75,19.49,20.24,20.5,21.03,21.8,21.94,22.14,22.94,23.77,25.08,26.4,27.65
경기,경기 가평군,총인구,53722,53925,54061,55005,56203,56613,56334,56386,56111,56045,55506,55060,54845,54861,54855,55698,57108,57564,58890,59358,60794,61017,61213,62008,62448,62973,62918,62415,62377,62264
경기,경기 가평군,노인인구비율,9.02,9.33,9.75,10.03,10.32,10.72,11.23,11.88,12.73,13.57,14.14,14.69,15.38,16.06,16.53,17.48,17.85,18.4,19.06,19.43,19.86,20.52,21.03,21.53,21.73,22.66,23.53,24.71,26.17,27.36
경기,경기 양평군,총인구,77593,77111,76548,78749,81314,81502,81200,81885,82773,82704,82992,83730,84673,85533,86298,87874,89812,91450,95833,99430,102193,103620,105379,108316,111367,115105,116095,116874,118810,121230
경기,경기 양평군,노인인구비율,9.98,10.46,10.88,11.10,11.27,11.69,12.15,12.74,13.30,14.07,14.67,15.23,15.80,16.38,16.90,17.51,17.92,18.33,18.5,18.82,19.37,19.9,20.43,20.93,21.2,22.23,23.17,24.34,25.7,26.71
강원,강원 춘천군,총인구,42289,41681,40865,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원,강원 춘천군,노인인구비율,11.03,11.80,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
